iter	F1	Logloss
0	0.8398023994	0.5777381456
1	0.8515299026	0.4996936817
2	0.8577949438	0.4495752619
3	0.8625608907	0.4186715655
4	0.8717413973	0.389711546
5	0.8732929991	0.3701385162
6	0.8722482233	0.3523925913
7	0.8723994452	0.3425939411
8	0.8738972496	0.3322430355
9	0.8772782503	0.3141090219
10	0.8789191062	0.3075263013
11	0.8813030671	0.3014453977
12	0.8824649472	0.2975317698
13	0.8840353614	0.2857182023
14	0.8855704115	0.2824594123
15	0.8866481224	0.2784036094
16	0.8885023482	0.274634805
17	0.8886953492	0.2688743816
18	0.89114101	0.2637927219
19	0.8931324457	0.2601084485
20	0.8936021034	0.257588211
21	0.8948106592	0.2546694593
22	0.8960674157	0.2525388505
23	0.8960674157	0.25050609
24	0.8969994736	0.2477619077
25	0.8975935359	0.2461596234
26	0.8989987704	0.2447151597
27	0.8994727592	0.2429732849
28	0.899543379	0.2413267865
29	0.9012845328	0.2394227145
30	0.9010214864	0.2375730612
31	0.9027141346	0.2357237773
32	0.9032599119	0.2339023923
33	0.9037376587	0.2318034706
34	0.9033168666	0.2304869805
35	0.9061397318	0.2286923
36	0.9074889868	0.2270855747
37	0.9074237348	0.2251162141
38	0.9078715143	0.2240664213
39	0.9092511013	0.2231346542
40	0.909283072	0.2218497739
41	0.910403098	0.2198527159
42	0.9118733509	0.2183058556
43	0.9131121643	0.2171828209
44	0.9128907622	0.2162621802
45	0.9148375768	0.2150846559
46	0.9151291513	0.2128929256
47	0.916344464	0.2119743471
48	0.9173408371	0.2107192864
49	0.9180154821	0.2098712754
50	0.9192043654	0.2081596007
51	0.9195280859	0.2068990857
52	0.9193661972	0.2060774862
53	0.9204225352	0.2047336317
54	0.9208025343	0.2038234748
55	0.9219108056	0.2023916667
56	0.9237004405	0.2009944363
57	0.9245682059	0.1997120771
58	0.9241354975	0.1987886397
59	0.9248412138	0.1975875765
60	0.9248677249	0.1965347704
61	0.9259259259	0.1958436299
62	0.9266055046	0.1944275982
63	0.9273112209	0.1936310468
64	0.9285588287	0.192587097
65	0.9291005291	0.1919189768
66	0.9301587302	0.1896154726
67	0.9312896406	0.1882906844
68	0.9308641975	0.1870865482
69	0.9321585903	0.1862011758
70	0.9340369393	0.1848462361
71	0.9340369393	0.1839527062
72	0.9350923483	0.1827675493
73	0.9369940162	0.181909891
74	0.937741822	0.1807543114
75	0.938323669	0.1797172785
76	0.938466948	0.179173867
77	0.9391701828	0.1784459822
78	0.9391487865	0.1779689608
79	0.9391701828	0.177248425
80	0.9390265331	0.1766776053
81	0.9390050976	0.1759454686
82	0.9398734177	0.1751881634
83	0.9400175901	0.1744950093
84	0.9405348346	0.1736600539
85	0.9407211961	0.1731206162
86	0.9410522611	0.1723436914
87	0.9414041879	0.1717977434
88	0.9415904293	0.1710294244
89	0.9431438127	0.1698739943
90	0.9431638219	0.16837416
91	0.9436619718	0.167314427
92	0.9447572132	0.1663499323
93	0.9459602183	0.1651978988
94	0.9466267395	0.1640660029
95	0.9469790382	0.1630858252
96	0.9482758621	0.1617663686
97	0.9488126649	0.1606805131
98	0.9489616332	0.1599732739
99	0.9502023579	0.1587165082
100	0.9507562434	0.1574133641
101	0.9514597256	0.1568220219
102	0.952514949	0.1561063414
103	0.9524982407	0.1551787816
104	0.9532019704	0.1540867689
105	0.9539219135	0.1534054487
106	0.9542736546	0.1524063745
107	0.9542736546	0.1514753086
108	0.9546253957	0.1507201042
109	0.9542736546	0.1498217051
110	0.955559459	0.1493124706
111	0.9558952732	0.1485053302
112	0.9559107676	0.1477691908
113	0.9564300773	0.1472990569
114	0.9564300773	0.1461972795
115	0.9567814476	0.1453165397
116	0.957132818	0.1447164446
117	0.9569495695	0.1435365658
118	0.9569495695	0.1429597569
119	0.9574542897	0.1425074629
120	0.9588896697	0.1417604439
121	0.9592410401	0.1409220595
122	0.9590437687	0.1403321887
123	0.9611940299	0.1394843722
124	0.9613764045	0.1388807991
125	0.9615587151	0.138090886
126	0.9617409617	0.137727751
127	0.9622740832	0.136672531
128	0.9621052632	0.1361101004
129	0.9626512362	0.1352183264
130	0.9635343619	0.1343272305
131	0.963339765	0.1336449963
132	0.9640540067	0.1328819333
133	0.963703314	0.1326141966
134	0.963884993	0.1318143306
135	0.9642356241	0.1308431526
136	0.9647553919	0.1301923433
137	0.9647553919	0.1298168405
138	0.9647553919	0.1294207217
139	0.9652631579	0.1286410456
140	0.9656140351	0.1278582673
141	0.9664735826	0.1265068835
142	0.9675039522	0.1258459382
143	0.9681953962	0.1248657863
144	0.9681953962	0.1243928548
145	0.9689091867	0.1236615407
146	0.9687390235	0.1230416306
147	0.9689091867	0.1224784486
148	0.9685468283	0.1219448446
149	0.96943078	0.121314317
150	0.96943078	0.1208052133
151	0.96943078	0.1203500457
152	0.9699631126	0.1194804953
153	0.9701440112	0.1191567068
154	0.9703352642	0.1186103486
155	0.9712078652	0.1178985212
156	0.9719101124	0.1175060428
157	0.9728117874	0.1168426638
158	0.9726411785	0.11618649
159	0.9728213221	0.115633364
160	0.973361374	0.1146598134
161	0.9735319895	0.1142897576
162	0.9735505342	0.1134084098
163	0.9738917119	0.112995509
164	0.9738917119	0.112226105
165	0.9751051893	0.1110085869
166	0.9756183126	0.1104299017
167	0.9752761704	0.1098861053
168	0.9759691282	0.1093366642
169	0.9754558205	0.109124356
170	0.9763282483	0.1082091222
171	0.9766871166	0.1076872264
172	0.9772169646	0.1070041942
173	0.9774040988	0.1064068324
174	0.9782684893	0.1055158391
175	0.9784475206	0.1051579392
176	0.9787979674	0.1046183561
177	0.9786264891	0.1042323157
178	0.9791411043	0.1037695724
179	0.979155719	0.1031042238
180	0.9793345009	0.1026526985
181	0.9796918768	0.1022103622
182	0.9798634215	0.1017880922
183	0.9800490025	0.1015522162
184	0.9800490025	0.1011381708
185	0.9805842225	0.100619357
186	0.9807625044	0.1000597059
187	0.981112277	0.09948249242
188	0.9816272966	0.09878793467
189	0.9821428571	0.09824998306
190	0.9819646297	0.09781544652
191	0.982314831	0.09761302566
192	0.9821366025	0.09707673933
193	0.9821428571	0.09645236533
194	0.9823272091	0.09603249693
195	0.9821491075	0.09563318404
196	0.9828371278	0.09508766268
197	0.9831873905	0.09434710902
198	0.9831873905	0.09405965582
199	0.9833654351	0.09359746388
