iter	Passed	Remaining
0	147	29285
1	157	15577
2	165	10866
3	177	8691
4	187	7301
5	195	6329
6	206	5682
7	215	5170
8	224	4770
9	233	4431
10	240	4135
11	248	3886
12	255	3677
13	262	3491
14	269	3323
15	276	3184
16	283	3056
17	291	2945
18	298	2842
19	305	2749
20	313	2668
21	321	2605
22	329	2535
23	337	2475
24	345	2416
25	352	2361
26	361	2318
27	370	2274
28	378	2232
29	388	2199
30	396	2163
31	404	2123
32	411	2081
33	418	2043
34	425	2005
35	433	1972
36	440	1938
37	448	1910
38	455	1880
39	463	1854
40	470	1825
41	478	1799
42	486	1776
43	494	1753
44	503	1734
45	510	1710
46	518	1688
47	527	1670
48	534	1647
49	542	1626
50	549	1604
51	556	1583
52	563	1562
53	570	1543
54	577	1523
55	588	1512
56	596	1496
57	603	1477
58	610	1459
59	618	1443
60	625	1424
61	632	1408
62	639	1390
63	646	1373
64	652	1355
65	659	1339
66	666	1323
67	673	1307
68	681	1293
69	687	1277
70	695	1263
71	702	1248
72	709	1233
73	715	1219
74	722	1204
75	729	1190
76	737	1177
77	744	1164
78	751	1150
79	758	1137
80	765	1124
81	772	1111
82	779	1098
83	786	1085
84	793	1072
85	799	1060
86	806	1048
87	813	1035
88	820	1023
89	827	1011
90	834	999
91	841	987
92	848	976
93	856	965
94	863	954
95	870	942
96	878	932
97	886	922
98	893	911
99	901	901
100	908	890
101	915	879
102	921	867
103	928	856
104	935	846
105	942	835
106	949	825
107	956	814
108	963	804
109	970	793
110	977	783
111	984	773
112	991	763
113	999	754
114	1008	745
115	1017	737
116	1026	727
117	1033	718
118	1040	708
119	1047	698
120	1054	688
121	1061	678
122	1068	669
123	1075	659
124	1082	649
125	1089	639
126	1096	630
127	1103	620
128	1110	611
129	1117	601
130	1124	592
131	1131	582
132	1138	573
133	1145	564
134	1152	555
135	1160	546
136	1167	536
137	1174	527
138	1181	518
139	1189	509
140	1196	500
141	1203	491
142	1210	482
143	1216	473
144	1224	464
145	1232	455
146	1240	447
147	1249	438
148	1258	430
149	1265	421
150	1272	412
151	1279	403
152	1287	395
153	1293	386
154	1300	377
155	1307	368
156	1314	359
157	1321	351
158	1328	342
159	1335	333
160	1342	325
161	1350	316
162	1357	308
163	1364	299
164	1371	290
165	1378	282
166	1385	273
167	1392	265
168	1410	258
169	1418	250
170	1427	242
171	1435	233
172	1442	225
173	1449	216
174	1456	208
175	1462	199
176	1469	190
177	1476	182
178	1484	174
179	1491	165
180	1498	157
181	1506	148
182	1512	140
183	1519	132
184	1526	123
185	1534	115
186	1543	107
187	1557	99
188	1575	91
189	1614	84
190	1635	77
191	1650	68
192	1658	60
193	1665	51
194	1672	42
195	1679	34
196	1688	25
197	1695	17
198	1702	8
199	1710	0
